Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Nepal,Consumer Price Index CPI,2022-04-30T00:00:00,147.34,Monthly,NEPALCPIC,2022-05-14T10:14:00
Nepal,Consumer Price Index CPI,2022-05-31T00:00:00,149.44,Monthly,NEPALCPIC,2022-06-18T10:16:00
Nepal,Consumer Price Index CPI,2022-06-30T00:00:00,151.04,Monthly,NEPALCPIC,2022-07-16T10:16:00
Nepal,Consumer Price Index CPI,2022-07-31T00:00:00,151.67,Monthly,NEPALCPIC,2022-08-20T10:17:00
Nepal,Consumer Price Index CPI,2022-08-31T00:00:00,154.19,Monthly,NEPALCPIC,2022-09-24T10:15:00
Nepal,Consumer Price Index CPI,2022-09-30T00:00:00,154.73,Monthly,NEPALCPIC,2022-10-22T10:15:00
Nepal,Consumer Price Index CPI,2022-10-31T00:00:00,155.6,Monthly,NEPALCPIC,2022-11-19T10:15:00
Nepal,Consumer Price Index CPI,2022-11-30T00:00:00,158.38,Monthly,NEPALCPIC,2022-12-17T10:24:00
Nepal,Consumer Price Index CPI,2022-12-31T00:00:00,156.87,Monthly,NEPALCPIC,2023-01-21T10:17:00
Nepal,Consumer Price Index CPI,2023-01-31T00:00:00,155.36,Monthly,NEPALCPIC,2023-02-07T15:18:00
Nepal,Consumer Price Index CPI,2023-02-28T00:00:00,155.26,Monthly,NEPALCPIC,2023-03-15T01:21:00
Nepal,Consumer Price Index CPI,2023-03-31T00:00:00,157.02,Monthly,NEPALCPIC,2023-04-12T04:10:00
Nepal,Consumer Price Index CPI,2023-04-30T00:00:00,158.77,Monthly,NEPALCPIC,2023-05-11T03:10:00
Nepal,Consumer Price Index CPI,2023-05-31T00:00:00,160.51,Monthly,NEPALCPIC,2023-06-10T10:15:00
Nepal,Consumer Price Index CPI,2023-06-30T00:00:00,161.36,Monthly,NEPALCPIC,2023-07-11T03:55:00
Nepal,Consumer Price Index CPI,2023-07-31T00:00:00,162.95,Monthly,NEPALCPIC,2023-08-19T10:20:00
Nepal,Consumer Price Index CPI,2023-08-31T00:00:00,165.79,Monthly,NEPALCPIC,2023-09-23T10:17:00
Nepal,Consumer Price Index CPI,2023-09-30T00:00:00,167.41,Monthly,NEPALCPIC,2023-11-04T10:20:00
Nepal,Consumer Price Index CPI,2023-10-31T00:00:00,167.27,Monthly,NEPALCPIC,2023-11-11T10:17:00
Nepal,Consumer Price Index CPI,2023-11-30T00:00:00,166.91,Monthly,NEPALCPIC,2023-12-16T10:17:00
Nepal,Consumer Price Index CPI,2023-12-31T00:00:00,164.63,Monthly,NEPALCPIC,2024-01-13T10:19:00
Nepal,Consumer Price Index CPI,2024-01-31T00:00:00,163.5,Monthly,NEPALCPIC,2024-02-06T09:59:00
